Timestamp	Roll(deg)	Pitch(deg)	Yaw(deg)	Roll (rad)	Pitch (rad)	Yaw (rad)
2023-10-31 16:55:12.0566830.373199	-0.269333	158.940460
0.006514	-0.004701	2.774034
2023-10-31 16:55:12.1068070.373827	-0.269182	158.941162
0.006525	-0.004698	2.774047
2023-10-31 16:55:12.1468100.374291	-0.269157	158.941055
0.006533	-0.004698	2.774045
2023-10-31 16:55:12.1868140.374462	-0.269407	158.940475
0.006536	-0.004702	2.774035
2023-10-31 16:55:12.2369260.373987	-0.269551	158.940186
0.006527	-0.004705	2.774029
2023-10-31 16:55:12.2864560.374327	-0.270922	158.945282
0.006533	-0.004728	2.774118
2023-10-31 16:55:12.3274570.374643	-0.271603	158.945847
0.006539	-0.004740	2.774128
2023-10-31 16:55:12.3766050.374566	-0.271723	158.946747
0.006537	-0.004742	2.774144
2023-10-31 16:55:12.4256040.374438	-0.271833	158.948410
0.006535	-0.004744	2.774173
2023-10-31 16:55:12.4656050.374658	-0.271997	158.950577
0.006539	-0.004747	2.774211
2023-10-31 16:55:12.5166140.374535	-0.271642	158.949265
0.006537	-0.004741	2.774188
2023-10-31 16:55:12.5667450.374010	-0.271226	158.947021
0.006528	-0.004734	2.774149
2023-10-31 16:55:12.6200010.374082	-0.270656	158.946289
0.006529	-0.004724	2.774136
2023-10-31 16:55:12.6469930.373419	-0.272102	158.947632
0.006517	-0.004749	2.774159
2023-10-31 16:55:12.6971130.373587	-0.272278	158.948563
0.006520	-0.004752	2.774176
2023-10-31 16:55:12.7471120.373031	-0.272788	158.949615
0.006511	-0.004761	2.774194
2023-10-31 16:55:12.7961160.373447	-0.273726	158.950577
0.006518	-0.004777	2.774211
2023-10-31 16:55:12.8362570.373612	-0.273726	158.949432
0.006521	-0.004777	2.774191
2023-10-31 16:55:12.8863810.373748	-0.273501	158.953125
0.006523	-0.004773	2.774256
2023-10-31 16:55:12.9353810.374307	-0.274070	158.952911
0.006533	-0.004783	2.774252
2023-10-31 16:55:12.9863840.373673	-0.273871	158.951843
0.006522	-0.004780	2.774233
2023-10-31 16:55:13.0366070.373552	-0.273359	158.952103
0.006520	-0.004771	2.774238
2023-10-31 16:55:13.0866060.372813	-0.273781	158.954468
0.006507	-0.004778	2.774279
2023-10-31 16:55:13.1266050.373118	-0.273505	158.955612
0.006512	-0.004774	2.774299
2023-10-31 16:55:13.1670320.373090	-0.274254	158.956131
0.006512	-0.004787	2.774308
2023-10-31 16:55:13.2071400.372367	-0.274110	158.955124
0.006499	-0.004784	2.774290
2023-10-31 16:55:13.2451440.372030	-0.274398	158.956390
0.006493	-0.004789	2.774312
2023-10-31 16:55:13.2951460.372024	-0.274800	158.957306
0.006493	-0.004796	2.774328
